Razao;Codigo;Setor;Pais de Origem
CITIGROUP;CTGP34;Bancos;EUA
CITIZENS FIN;C1FG34;Instituição Financeira;EUA
CITRIX SYSTE;C1TX34;Tecnologia;EUA
CLOROX CO;CLXC34;Comércio – Produtos de consumo não duráveis;EUA
CME GROUP;CHME34;Serviços Financeiros ;EUA
CMS ENERGY CORP;C1MS34;Energia;EUA
CNOOC LTD;C1EO34;Energia;China
COGNIZANT;CTSH34;Programas e Serviços;EUA
COMCAST;CMCS34;Sistemas de CATV;EUA
COMERICA INC;C1MA34;Serviços Financeiros ;EUA
CONAGRA BRAN;C1AG34;Produtos Alimentícios ;EUA
CONCHO RESOU;C1XO34;"Petróleo, Gás e Biocombustíveis";EUA
CONSOLIDATED EDISON INC;E1DI34;Energia;EUA
CONSTELLATIO;STZB34;Comércio – Bebidas alcoólicas ;EUA
COOPER COMPANIES INC;C1OO34;Saúde;EUA
COPART INC;C1PR34;Serviços;EUA
COPHILLIPS;COPH34;Combustível & Gás Integrados;EUA
CORNING INC;G1LW34;Materiais Básicos ;EUA
CORTEVA INC;C1TV34;Biotecnologia Agrícola;EUA
COSTAR GROUP INC;C1GP34;Serviços comerciais;EUA
COSTCO;COWC34;Produtos Diversos;EUA
COTY INC;COTY34;Consumo;EUA
COUPA SOFTWARE INC;C1OU34;Tecnologia;EUA
CREDIT ACCEP;CRDA34;Serviços Financeiros ;EUA
CREDIT SUISSE GROUP AG;C1SU34;Financeiro;Switzerland
CRH PLC;CRHP34;Construção;Irlanda
CROWN CASTLE INTERNATIONAL CORP;C1CI34;Tecnologia;EUA
CSX CORP;CSXC34;Industrial;EUA
CTRIPCOM;CRIP34;Serviços – Viagens;China
CUMMINS INC;C1MI34;Metalurgia;EUA
CVS HEALTH;CVSH34;Medicamentos e Outros Produtos;EUA
DANAHER CORP;DHER34;Industrial;EUA
DARDEN RESTAURANTS INC;D1RI34;Restaurantes & Bares;EUA
DATADOG INC;D1DG34;Tecnologia;EUA
DAVITA INC;DVAI34;Centro médico – Serviços ;EUA
DEERE & CO;DEEC34;Industrial;EUA
DELL TECHNOL;D1EL34;Computadores e Equipamentos;EUA
DELTA;DEAI34;Transporte Aéreo;EUA
DENTSPLY SIR;XRAY34;Comércio – Produtos de higiene dental ;EUA
DEUTSCHE AK;DBAG34;Serviços Financeiros ;Alemanha
DEVON ENERGY;D1VN34;"Petróleo, Gás e Biocombustíveis";EUA
DEXCOM INC;D1EX34;Farmacêutico;EUA
DIAGEO PL;DEOP34;Bebidas;Reino Unido
DIAMONDBACK ENERGY INC;F1AN34;Exploração de hidrocarbonetos;EUA
DIGITAL REALTY TRUST INC;D1LR34;Fundo de investimento imobiliário;EUA
DISCOVER FINANCIAL SERVICES;D1FS34;Serviços Financeiros ;EUA
DISCOVERY IN;DCVY34;Comunicação ;EUA
DISCOVERY INC;DCVY35;Telecomunicações;EUA
DISH NETWORK;D1IS34;Telecomunicações;EUA
DOCUSIGN INC;D1OC34;Tecnologia;EUA
DOLLAR GENER;DGCO34;Comércio ;EUA
DOLLAR TREE;DLTR34;Comércio ;EUA
DOMINION ENE;D1OM34;Energia;EUA
DOMINO’S PIZZA;D2PZ34;Alimentação;EUA
DOOR DASH;D2AS34;Delivery;EUA
DOVER CORP;D1OV34;Industria diversificada;EUA
DOW INC;D1OW34;Produtos Químicos Diversificados;EUA
